DATE,SLOAS
2006-01-01,480.96698
2006-04-01,487.12604
2006-07-01,510.54846
2006-10-01,521.38249
2007-01-01,544.98854
2007-04-01,549.27083
2007-07-01,577.38056
2007-10-01,589.48928
2008-01-01,619.31589
2008-04-01,626.6056
2008-07-01,660.58421
2008-10-01,675.95258
2009-01-01,707.22681
2009-04-01,712.31915
2009-07-01,746.52252
2009-10-01,771.69975
2010-01-01,800.06982
2010-04-01,811.14877
2010-07-01,845.80479
2010-10-01,855.48342
2011-01-01,896.84843
2011-04-01,905.15715
2011-07-01,940.33902
2011-10-01,959.82394
2012-01-01,994.27974
2012-04-01,1011.25992
2012-07-01,1041.03403
2012-10-01,1054.56511
2013-01-01,1092.01386
2013-04-01,1099.6068
2013-07-01,1134.18097
2013-10-01,1145.55075
2014-01-01,1182.06118
2014-04-01,1190.48872
2014-07-01,1226.39406
2014-10-01,1235.75147
2015-01-01,1271.84496
2015-04-01,1278.76493
2015-07-01,1311.76642
2015-10-01,1320.24814
2016-01-01,1358.13744
2016-04-01,1365.26984
2016-07-01,1398.5732
2016-10-01,1405.33216
2017-01-01,1440.35857
2017-04-01,1446.68008
2017-07-01,1479.02956
2017-10-01,1488.89549
2018-01-01,1523.34376
2018-04-01,1530.75657
2018-07-01,1560.68165
2018-10-01,1566.90343
2019-01-01,1597.65408
2019-04-01,1603.29289
2019-07-01,1635.13196
2019-10-01,1637.8807
2020-01-01,1671.96877
2020-04-01,1672.50314
2020-07-01,1696.47462
2020-10-01,1693.86024
2021-01-01,1718.70655
2021-04-01,1719.0675
2021-07-01,1739.44383
2021-10-01,1733.41518
2022-01-01,1747.45551
2022-04-01,1744.007
2022-07-01,1761.742
2022-10-01,1764.06741
2023-01-01,1774.9099
2023-04-01,1761.24356
2023-07-01,1732.57535
2023-10-01,1729.13913
2024-01-01,1753.33367
2024-04-01,1745.08241
